id,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
0,Guarani,Vasco,4,2,H,2003
1,Athletico-PR,Gremio,2,0,H,2003
2,Flamengo,Coritiba,1,1,D,2003
3,Goias,Paysandu,2,2,D,2003
4,Internacional,Ponte Preta,1,1,D,2003
5,Criciuma,Fluminense,2,0,H,2003
6,Juventude,Sao Paulo,2,2,D,2003
7,Fortaleza,Bahia,0,0,D,2003
8,Cruzeiro,Sao Caetano,2,2,D,2003
9,Vitoria,Figueirense,1,1,D,2003
10,Santos,Parana,2,2,D,2003
11,Corinthians,Atletico-MG,0,3,A,2003
12,Fluminense,Fortaleza,1,1,D,2003
13,Atletico-MG,Santos,0,0,D,2003
14,Coritiba,Internacional,0,1,A,2003
15,Gremio,Guarani,3,1,H,2003
16,Bahia,Flamengo,1,2,A,2003
17,Figueirense,Corinthians,3,3,D,2003
18,Paysandu,Vitoria,1,2,A,2003
19,Ponte Preta,Juventude,1,0,H,2003
20,Parana,Athletico-PR,3,0,H,2003
21,Sao Caetano,Criciuma,3,2,H,2003
22,Sao Paulo,Cruzeiro,2,4,A,2003
23,Vasco,Goias,6,4,H,2003
24,Paysandu,Santos,2,1,H,2003
25,Internacional,Bahia,2,0,H,2003
26,Santos,Figueirense,2,0,H,2003
27,Athletico-PR,Atletico-MG,1,2,A,2003
28,Corinthians,Paysandu,6,1,H,2003
29,Vitoria,Vasco,2,1,H,2003
30,Criciuma,Sao Paulo,1,1,D,2003
31,Fortaleza,Sao Caetano,1,1,D,2003
32,Juventude,Coritiba,2,1,H,2003
33,Guarani,Parana,2,0,H,2003
34,Goias,Gremio,1,1,D,2003
35,Cruzeiro,Ponte Preta,3,0,H,2003
36,Flamengo,Fluminense,4,1,H,2003
37,Bahia,Juventude,3,1,H,2003
38,Gremio,Vitoria,2,1,H,2003
39,Atletico-MG,Guarani,3,2,H,2003
40,Figueirense,Athletico-PR,1,1,D,2003
41,Ponte Preta,Criciuma,1,1,D,2003
42,Sao Caetano,Flamengo,1,1,D,2003
43,Vasco,Corinthians,2,2,D,2003
44,Coritiba,Cruzeiro,3,4,A,2003
45,Fluminense,Internacional,3,1,H,2003
46,Sao Paulo,Fortaleza,3,1,H,2003
47,Parana,Goias,3,1,H,2003
48,Flamengo,Cruzeiro,3,0,H,2003
49,Bahia,Atletico-MG,2,4,A,2003
50,Sao Caetano,Gremio,1,1,D,2003
51,Flamengo,Santos,0,2,A,2003
52,Sao Paulo,Vasco,3,1,H,2003
53,Internacional,Corinthians,2,1,H,2003
54,Criciuma,Guarani,1,0,H,2003
55,Juventude,Vitoria,1,1,D,2003
56,Fortaleza,Athletico-PR,1,0,H,2003
57,Ponte Preta,Paysandu,4,4,D,2003
58,Cruzeiro,Goias,4,1,H,2003
59,Fluminense,Parana,0,0,D,2003
60,Coritiba,Figueirense,1,0,H,2003
61,Atletico-MG,Coritiba,1,2,A,2003
62,Parana,Bahia,3,1,H,2003
63,Vitoria,Internacional,0,3,A,2003
64,Guarani,Cruzeiro,1,1,D,2003
65,Corinthians,Flamengo,1,1,D,2003
66,Goias,Juventude,7,0,H,2003
67,Figueirense,Ponte Preta,0,0,D,2003
68,Santos,Fortaleza,4,0,H,2003
69,Gremio,Fluminense,0,1,A,2003
70,Athletico-PR,Criciuma,4,2,H,2003
71,Paysandu,Sao Paulo,5,2,H,2003
72,Vasco,Sao Caetano,1,0,H,2003
73,Flamengo,Vitoria,2,1,H,2003
74,Bahia,Gremio,2,1,H,2003
75,Cruzeiro,Athletico-PR,5,2,H,2003
76,Fortaleza,Corinthians,1,2,A,2003
77,Sao Paulo,Figueirense,3,2,H,2003
78,Sao Caetano,Paysandu,2,0,H,2003
79,Internacional,Goias,2,1,H,2003
80,Ponte Preta,Atletico-MG,2,1,H,2003
81,Juventude,Guarani,1,1,D,2003
82,Coritiba,Parana,2,1,H,2003
83,Criciuma,Santos,1,3,A,2003
84,Fluminense,Vasco,0,0,D,2003
85,Goias,Flamengo,1,1,D,2003
86,Santos,Cruzeiro,0,2,A,2003
87,Parana,Ponte Preta,3,2,H,2003
88,Corinthians,Criciuma,3,0,H,2003
89,Vasco,Bahia,1,1,D,2003
90,Paysandu,Fluminense,2,2,D,2003
91,Atletico-MG,Sao Paulo,2,2,D,2003
92,Vitoria,Fortaleza,2,1,H,2003
93,Guarani,Internacional,3,0,H,2003
94,Athletico-PR,Juventude,2,0,H,2003
95,Figueirense,Sao Caetano,3,0,H,2003
96,Gremio,Coritiba,1,0,H,2003
97,Fluminense,Figueirense,3,0,H,2003
98,Sao Caetano,Atletico-MG,2,0,H,2003
99,Juventude,Santos,1,1,D,2003
100,Bahia,Paysandu,2,0,H,2003
101,Internacional,Athletico-PR,1,1,D,2003
102,Coritiba,Vasco,1,1,D,2003
103,Cruzeiro,Corinthians,1,1,D,2003
104,Fortaleza,Goias,1,0,H,2003
105,Ponte Preta,Gremio,2,1,H,2003
106,Criciuma,Vitoria,1,1,D,2003
107,Flamengo,Guarani,1,1,D,2003
108,Sao Paulo,Parana,2,0,H,2003
109,Atletico-MG,Fluminense,3,0,H,2003
110,Parana,Sao Caetano,1,1,D,2003
111,Corinthians,Juventude,3,0,H,2003
112,Vasco,Ponte Preta,1,0,H,2003
113,Athletico-PR,Flamengo,4,1,H,2003
114,Paysandu,Coritiba,1,3,A,2003
115,Goias,Criciuma,0,2,A,2003
116,Gremio,Sao Paulo,1,2,A,2003
117,Guarani,Fortaleza,2,1,H,2003
118,Figueirense,Bahia,1,0,H,2003
119,Vitoria,Cruzeiro,2,1,H,2003
120,Santos,Internacional,2,1,H,2003
121,Fluminense,Athletico-PR,2,1,H,2003
122,Cruzeiro,Criciuma,2,0,H,2003
123,Coritiba,Guarani,3,2,H,2003
124,Ponte Preta,Sao Caetano,0,0,D,2003
125,Internacional,Paysandu,2,1,H,2003
126,Parana,Flamengo,6,2,H,2003
127,Bahia,Goias,2,1,H,2003
128,Fortaleza,Juventude,3,1,H,2003
129,Figueirense,Gremio,2,1,H,2003
130,Santos,Sao Paulo,3,2,H,2003
131,Corinthians,Vitoria,4,0,H,2003
132,Vasco,Atletico-MG,2,2,D,2003
133,Vitoria,Fluminense,2,1,H,2003
134,Guarani,Santos,1,2,A,2003
135,Gremio,Fortaleza,3,1,H,2003
136,Atletico-MG,Figueirense,1,1,D,2003
137,Paysandu,Parana,3,0,H,2003
138,Juventude,Vasco,0,0,D,2003
139,Athletico-PR,Ponte Preta,4,2,H,2003
140,Goias,Coritiba,1,2,A,2003
141,Sao Caetano,Corinthians,1,0,H,2003
142,Criciuma,Internacional,1,0,H,2003
143,Sao Paulo,Bahia,2,2,D,2003
144,Fluminense,Goias,2,3,A,2003
145,Ponte Preta,Guarani,0,2,A,2003
146,Coritiba,Athletico-PR,2,0,H,2003
147,Corinthians,Sao Paulo,1,2,A,2003
148,Fortaleza,Paysandu,1,2,A,2003
149,Parana,Juventude,1,2,A,2003
150,Gremio,Internacional,0,0,D,2003
151,Santos,Sao Caetano,0,1,A,2003
152,Criciuma,Figueirense,1,0,H,2003
153,Bahia,Vitoria,2,1,H,2003
154,Vasco,Flamengo,1,2,A,2003
155,Cruzeiro,Atletico-MG,0,0,D,2003
156,Bahia,Coritiba,2,2,D,2003
157,Vasco,Criciuma,2,0,H,2003
158,Atletico-MG,Gremio,3,2,H,2003
159,Internacional,Parana,2,1,H,2003
160,Sao Paulo,Goias,1,0,H,2003
161,Paysandu,Flamengo,2,2,D,2003
162,Ponte Preta,Corinthians,3,3,D,2003
163,Sao Caetano,Vitoria,2,1,H,2003
164,Figueirense,Fortaleza,2,2,D,2003
165,Juventude,Cruzeiro,0,1,A,2003
166,Fluminense,Guarani,5,2,H,2003
167,Fortaleza,Vasco,0,1,A,2003
168,Coritiba,Sao Caetano,2,0,H,2003
169,Gremio,Juventude,1,4,A,2003
170,Santos,Bahia,4,0,H,2003
171,Flamengo,Figueirense,0,2,A,2003
172,Corinthians,Fluminense,1,0,H,2003
173,Guarani,Sao Paulo,0,1,A,2003
174,Criciuma,Paysandu,2,0,H,2003
175,Vitoria,Athletico-PR,1,0,H,2003
176,Cruzeiro,Internacional,3,2,H,2003
177,Parana,Atletico-MG,1,1,D,2003
178,Vasco,Parana,1,4,A,2003
179,Sao Paulo,Sao Caetano,1,1,D,2003
180,Figueirense,Cruzeiro,1,0,H,2003
181,Atletico-MG,Paysandu,3,2,H,2003
182,Gremio,Flamengo,2,0,H,2003
183,Guarani,Goias,3,2,H,2003
184,Athletico-PR,Corinthians,3,1,H,2003
185,Juventude,Internacional,1,1,D,2003
186,Fortaleza,Criciuma,0,1,A,2003
187,Vitoria,Ponte Preta,1,4,A,2003
188,Santos,Coritiba,3,1,H,2003
189,Fluminense,Bahia,1,0,H,2003
190,Sao Caetano,Athletico-PR,0,0,D,2003
191,Corinthians,Santos,1,1,D,2003
192,Cruzeiro,Fortaleza,2,0,H,2003
193,Bahia,Guarani,2,0,H,2003
194,Paysandu,Figueirense,1,0,H,2003
195,Goias,Vitoria,1,1,D,2003
196,Flamengo,Juventude,2,1,H,2003
197,Internacional,Vasco,2,1,H,2003
198,Coritiba,Sao Paulo,0,2,A,2003
199,Ponte Preta,Fluminense,3,0,H,2003
200,Criciuma,Atletico-MG,1,0,H,2003
201,Parana,Gremio,3,1,H,2003
202,Athletico-PR,Goias,0,0,D,2003
203,Fortaleza,Internacional,3,0,H,2003
204,Vasco,Paysandu,0,2,A,2003
205,Atletico-MG,Flamengo,1,0,H,2003
206,Ponte Preta,Bahia,1,0,H,2003
207,Corinthians,Coritiba,0,1,A,2003
208,Criciuma,Juventude,3,0,H,2003
209,Figueirense,Parana,4,2,H,2003
210,Sao Caetano,Guarani,0,2,A,2003
211,Fluminense,Sao Paulo,1,3,A,2003
212,Gremio,Cruzeiro,0,1,A,2003
213,Vitoria,Santos,2,0,H,2003
214,Flamengo,Fortaleza,0,2,A,2003
215,Juventude,Figueirense,1,2,A,2003
216,Bahia,Sao Caetano,0,0,D,2003
217,Coritiba,Fluminense,3,0,H,2003
218,Guarani,Vitoria,2,2,D,2003
219,Internacional,Atletico-MG,3,3,D,2003
220,Santos,Ponte Preta,2,1,H,2003
221,Cruzeiro,Vasco,4,1,H,2003
222,Goias,Corinthians,1,1,D,2003
223,Paysandu,Gremio,1,1,D,2003
224,Sao Paulo,Athletico-PR,2,0,H,2003
225,Fluminense,Santos,1,4,A,2003
226,Corinthians,Guarani,1,0,H,2003
227,Fortaleza,Atletico-MG,4,3,H,2003
228,Internacional,Figueirense,3,0,H,2003
229,Juventude,Paysandu,2,0,H,2003
230,Athletico-PR,Bahia,2,1,H,2003
231,Ponte Preta,Coritiba,1,1,D,2003
232,Criciuma,Flamengo,4,3,H,2003
233,Goias,Sao Caetano,2,1,H,2003
234,Vitoria,Sao Paulo,0,2,A,2003
235,Cruzeiro,Parana,5,1,H,2003
236,Vasco,Gremio,2,0,H,2003
237,Parana,Fortaleza,4,1,H,2003
238,Atletico-MG,Juventude,2,1,H,2003
239,Paysandu,Cruzeiro,3,0,H,2003
240,Guarani,Athletico-PR,1,0,H,2003
241,Figueirense,Vasco,0,0,D,2003
242,Santos,Goias,3,3,D,2003
243,Bahia,Corinthians,0,0,D,2003
244,Coritiba,Vitoria,1,1,D,2003
245,Gremio,Criciuma,0,2,A,2003
246,Flamengo,Internacional,2,1,H,2003
247,Sao Caetano,Fluminense,2,0,H,2003
248,Sao Paulo,Ponte Preta,1,2,A,2003
249,Santos,Vasco,2,1,H,2003
250,Goias,Atletico-MG,1,1,D,2003
251,Athletico-PR,Paysandu,1,1,D,2003
252,Fortaleza,Ponte Preta,2,3,A,2003
253,Juventude,Fluminense,2,1,H,2003
254,Flamengo,Sao Paulo,1,1,D,2003
255,Criciuma,Coritiba,2,3,A,2003
256,Guarani,Figueirense,3,0,H,2003
257,Vitoria,Parana,0,3,A,2003
258,Corinthians,Gremio,1,0,H,2003
259,Cruzeiro,Bahia,5,2,H,2003
260,Internacional,Sao Caetano,0,0,D,2003
261,Athletico-PR,Santos,0,2,A,2003
262,Goias,Ponte Preta,0,0,D,2003
263,Parana,Criciuma,2,1,H,2003
264,Fluminense,Cruzeiro,2,2,D,2003
265,Gremio,Santos,2,0,H,2003
266,Sao Paulo,Internacional,0,2,A,2003
267,Sao Caetano,Juventude,1,1,D,2003
268,Figueirense,Goias,0,1,A,2003
269,Parana,Corinthians,1,1,D,2003
270,Paysandu,Guarani,6,1,H,2003
271,Coritiba,Fortaleza,1,1,D,2003
272,Bahia,Criciuma,2,2,D,2003
273,Ponte Preta,Flamengo,1,1,D,2003
274,Vasco,Athletico-PR,2,1,H,2003
275,Atletico-MG,Vitoria,1,0,H,2003
276,Vitoria,Paysandu,1,1,D,2003
277,Athletico-PR,Parana,1,0,H,2003
278,Criciuma,Sao Caetano,0,1,A,2003
279,Fortaleza,Fluminense,3,1,H,2003
280,Juventude,Ponte Preta,0,0,D,2003
281,Santos,Atletico-MG,3,3,D,2003
282,Goias,Vasco,3,1,H,2003
283,Cruzeiro,Sao Paulo,1,1,D,2003
284,Flamengo,Bahia,6,0,H,2003
285,Corinthians,Figueirense,0,1,A,2003
286,Guarani,Gremio,2,0,H,2003
287,Internacional,Coritiba,1,0,H,2003
288,Fluminense,Criciuma,1,1,D,2003
289,Sao Caetano,Cruzeiro,2,0,H,2003
290,Parana,Santos,1,2,A,2003
291,Sao Paulo,Juventude,3,1,H,2003
292,Paysandu,Goias,2,2,D,2003
293,Ponte Preta,Internacional,1,4,A,2003
294,Coritiba,Flamengo,5,0,H,2003
295,Atletico-MG,Corinthians,2,3,A,2003
296,Figueirense,Vitoria,1,2,A,2003
297,Bahia,Fortaleza,1,0,H,2003
298,Vasco,Guarani,0,0,D,2003
299,Gremio,Athletico-PR,1,1,D,2003
300,Vasco,Vitoria,1,0,H,2003
301,Bahia,Internacional,1,3,A,2003
302,Figueirense,Santos,1,0,H,2003
303,Coritiba,Juventude,1,0,H,2003
304,Atletico-MG,Athletico-PR,1,2,A,2003
305,Sao Paulo,Criciuma,0,0,D,2003
306,Paysandu,Corinthians,2,2,D,2003
307,Sao Caetano,Fortaleza,3,0,H,2003
308,Ponte Preta,Cruzeiro,1,3,A,2003
309,Parana,Guarani,0,0,D,2003
310,Gremio,Goias,0,1,A,2003
311,Fluminense,Flamengo,0,1,A,2003
312,Flamengo,Sao Caetano,1,0,H,2003
313,Goias,Parana,1,0,H,2003
314,Juventude,Bahia,1,0,H,2003
315,Cruzeiro,Coritiba,2,2,D,2003
316,Athletico-PR,Figueirense,1,2,A,2003
317,Vitoria,Gremio,4,1,H,2003
318,Santos,Paysandu,2,0,H,2003
319,Fortaleza,Sao Paulo,0,2,A,2003
320,Corinthians,Vasco,0,0,D,2003
321,Internacional,Fluminense,0,1,A,2003
322,Guarani,Atletico-MG,2,2,D,2003
323,Criciuma,Ponte Preta,3,0,H,2003
324,Santos,Flamengo,2,1,H,2003
325,Athletico-PR,Fortaleza,3,1,H,2003
326,Goias,Cruzeiro,1,0,H,2003
327,Gremio,Sao Caetano,0,0,D,2003
328,Vasco,Sao Paulo,3,2,H,2003
329,Paysandu,Ponte Preta,3,2,H,2003
330,Parana,Fluminense,2,0,H,2003
331,Vitoria,Juventude,3,0,H,2003
332,Guarani,Criciuma,1,0,H,2003
333,Figueirense,Coritiba,1,2,A,2003
334,Corinthians,Internacional,3,1,H,2003
335,Atletico-MG,Bahia,1,0,H,2003
336,Fluminense,Gremio,2,0,H,2003
337,Fortaleza,Santos,0,0,D,2003
338,Internacional,Vitoria,0,1,A,2003
339,Cruzeiro,Guarani,4,1,H,2003
340,Sao Paulo,Paysandu,1,0,H,2003
341,Sao Caetano,Vasco,1,0,H,2003
342,Juventude,Goias,0,2,A,2003
343,Flamengo,Corinthians,1,0,H,2003
344,Bahia,Parana,4,2,H,2003
345,Ponte Preta,Figueirense,1,1,D,2003
346,Criciuma,Athletico-PR,2,0,H,2003
347,Coritiba,Atletico-MG,2,2,D,2003
348,Santos,Criciuma,5,2,H,2003
349,Athletico-PR,Cruzeiro,1,4,A,2003
350,Gremio,Bahia,1,1,D,2003
351,Corinthians,Fortaleza,2,0,H,2003
352,Vitoria,Flamengo,1,0,H,2003
353,Figueirense,Sao Paulo,2,2,D,2003
354,Goias,Internacional,3,1,H,2003
355,Paysandu,Sao Caetano,1,0,H,2003
356,Guarani,Juventude,2,0,H,2003
357,Parana,Coritiba,2,3,A,2003
358,Vasco,Fluminense,1,0,H,2003
359,Atletico-MG,Ponte Preta,2,0,H,2003
360,Cruzeiro,Santos,3,0,H,2003
361,Coritiba,Gremio,1,0,H,2003
362,Ponte Preta,Parana,4,0,H,2003
363,Fluminense,Paysandu,1,1,D,2003
364,Internacional,Guarani,2,0,H,2003
365,Bahia,Vasco,3,0,H,2003
366,Criciuma,Corinthians,1,0,H,2003
367,Fortaleza,Vitoria,1,0,H,2003
368,Juventude,Athletico-PR,4,0,H,2003
369,Sao Caetano,Figueirense,0,2,A,2003
370,Sao Paulo,Atletico-MG,2,2,D,2003
371,Flamengo,Goias,1,1,D,2003
372,Athletico-PR,Internacional,2,1,H,2003
373,Gremio,Ponte Preta,2,2,D,2003
374,Goias,Fortaleza,0,1,A,2003
375,Paysandu,Bahia,4,0,H,2003
376,Vitoria,Criciuma,1,1,D,2003
377,Guarani,Flamengo,5,3,H,2003
378,Parana,Sao Paulo,4,2,H,2003
379,Santos,Juventude,1,1,D,2003
380,Corinthians,Cruzeiro,0,1,A,2003
381,Figueirense,Fluminense,2,2,D,2003
382,Vasco,Coritiba,2,1,H,2003
383,Atletico-MG,Sao Caetano,3,1,H,2003
384,Internacional,Santos,1,0,H,2003
385,Sao Paulo,Gremio,3,1,H,2003
386,Flamengo,Athletico-PR,2,1,H,2003
387,Cruzeiro,Vitoria,1,0,H,2003
388,Bahia,Figueirense,1,1,D,2003
389,Criciuma,Goias,1,0,H,2003
390,Fortaleza,Guarani,3,0,H,2003
391,Juventude,Corinthians,6,1,H,2003
392,Ponte Preta,Vasco,2,2,D,2003
393,Sao Caetano,Parana,2,0,H,2003
394,Fluminense,Atletico-MG,0,1,A,2003
395,Coritiba,Paysandu,1,0,H,2003
396,Athletico-PR,Fluminense,0,0,D,2003
397,Paysandu,Internacional,0,0,D,2003
398,Sao Caetano,Ponte Preta,1,0,H,2003
399,Gremio,Figueirense,3,1,H,2003
400,Sao Paulo,Santos,1,2,A,2003
401,Vitoria,Corinthians,1,2,A,2003
402,Goias,Bahia,3,1,H,2003
403,Atletico-MG,Vasco,2,1,H,2003
404,Juventude,Fortaleza,2,2,D,2003
405,Guarani,Coritiba,2,1,H,2003
406,Flamengo,Parana,0,3,A,2003
407,Criciuma,Cruzeiro,1,3,A,2003
408,Vasco,Juventude,1,1,D,2003
409,Fortaleza,Gremio,2,2,D,2003
410,Corinthians,Sao Caetano,0,3,A,2003
411,Coritiba,Goias,1,0,H,2003
412,Ponte Preta,Athletico-PR,2,2,D,2003
413,Santos,Guarani,1,1,D,2003
414,Bahia,Sao Paulo,3,0,H,2003
415,Cruzeiro,Flamengo,2,0,H,2003
416,Parana,Paysandu,4,2,H,2003
417,Internacional,Criciuma,2,0,H,2003
418,Fluminense,Vitoria,2,0,H,2003
419,Figueirense,Atletico-MG,0,1,A,2003
420,Athletico-PR,Coritiba,2,0,H,2003
421,Guarani,Ponte Preta,1,3,A,2003
422,Sao Caetano,Santos,2,2,D,2003
423,Atletico-MG,Cruzeiro,0,1,A,2003
424,Figueirense,Criciuma,4,2,H,2003
425,Sao Paulo,Corinthians,3,0,H,2003
426,Vitoria,Bahia,2,1,H,2003
427,Goias,Fluminense,6,1,H,2003
428,Juventude,Parana,1,1,D,2003
429,Flamengo,Vasco,2,1,H,2003
430,Internacional,Gremio,0,1,A,2003
431,Paysandu,Fortaleza,3,0,H,2003
432,Goias,Sao Paulo,3,1,H,2003
433,Guarani,Fluminense,2,0,H,2003
434,Flamengo,Paysandu,2,0,H,2003
435,Gremio,Atletico-MG,2,2,D,2003
436,Coritiba,Bahia,3,2,H,2003
437,Parana,Internacional,4,0,H,2003
438,Santos,Athletico-PR,3,2,H,2003
439,Criciuma,Vasco,2,1,H,2003
440,Fortaleza,Figueirense,1,1,D,2003
441,Vitoria,Sao Caetano,0,0,D,2003
442,Corinthians,Ponte Preta,3,0,H,2003
443,Cruzeiro,Juventude,1,2,A,2003
444,Ponte Preta,Goias,0,2,A,2003
445,Sao Caetano,Coritiba,2,0,H,2003
446,Athletico-PR,Vitoria,1,2,A,2003
447,Figueirense,Flamengo,0,0,D,2003
448,Fluminense,Corinthians,1,0,H,2003
449,Internacional,Cruzeiro,1,0,H,2003
450,Bahia,Santos,4,7,A,2003
451,Paysandu,Criciuma,4,0,H,2003
452,Sao Paulo,Guarani,3,3,D,2003
453,Atletico-MG,Parana,2,2,D,2003
454,Juventude,Gremio,1,2,A,2003
455,Vasco,Fortaleza,1,1,D,2003
456,Coritiba,Santos,0,4,A,2003
457,Bahia,Fluminense,2,2,D,2003
458,Ponte Preta,Vitoria,1,1,D,2003
459,Cruzeiro,Figueirense,1,0,H,2003
460,Sao Caetano,Sao Paulo,0,1,A,2003
461,Parana,Vasco,3,3,D,2003
462,Goias,Guarani,3,0,H,2003
463,Criciuma,Fortaleza,2,2,D,2003
464,Corinthians,Athletico-PR,2,3,A,2003
465,Paysandu,Atletico-MG,1,0,H,2003
466,Flamengo,Gremio,2,1,H,2003
467,Internacional,Juventude,0,0,D,2003
468,Guarani,Bahia,3,2,H,2003
469,Athletico-PR,Sao Caetano,1,0,H,2003
470,Gremio,Parana,0,2,A,2003
471,Fluminense,Ponte Preta,2,2,D,2003
472,Atletico-MG,Criciuma,1,1,D,2003
473,Santos,Corinthians,3,1,H,2003
474,Juventude,Flamengo,2,2,D,2003
475,Fortaleza,Cruzeiro,1,2,A,2003
476,Figueirense,Paysandu,6,0,H,2003
477,Vitoria,Goias,3,4,A,2003
478,Vasco,Internacional,0,1,A,2003
479,Sao Paulo,Coritiba,1,0,H,2003
480,Parana,Figueirense,1,1,D,2003
481,Internacional,Fortaleza,1,1,D,2003
482,Juventude,Criciuma,3,1,H,2003
483,Paysandu,Vasco,1,2,A,2003
484,Sao Paulo,Fluminense,1,0,H,2003
485,Coritiba,Corinthians,1,0,H,2003
486,Santos,Vitoria,3,1,H,2003
487,Cruzeiro,Gremio,3,0,H,2003
488,Bahia,Ponte Preta,1,0,H,2003
489,Goias,Athletico-PR,4,1,H,2003
490,Flamengo,Atletico-MG,3,2,H,2003
491,Guarani,Sao Caetano,0,1,A,2003
492,Fluminense,Coritiba,3,2,H,2003
493,Gremio,Paysandu,2,0,H,2003
494,Criciuma,Parana,1,2,A,2003
495,Ponte Preta,Santos,3,4,A,2003
496,Vasco,Cruzeiro,0,1,A,2003
497,Fortaleza,Flamengo,4,1,H,2003
498,Athletico-PR,Sao Paulo,4,3,H,2003
499,Sao Caetano,Bahia,4,1,H,2003
500,Figueirense,Juventude,2,1,H,2003
501,Vitoria,Guarani,0,0,D,2003
502,Corinthians,Goias,2,0,H,2003
503,Atletico-MG,Internacional,1,2,A,2003
504,Figueirense,Internacional,3,2,H,2003
505,Atletico-MG,Fortaleza,2,0,H,2003
506,Coritiba,Ponte Preta,1,1,D,2003
507,Gremio,Vasco,4,3,H,2003
508,Flamengo,Criciuma,1,0,H,2003
509,Santos,Fluminense,3,1,H,2003
510,Parana,Cruzeiro,1,3,A,2003
511,Sao Caetano,Goias,1,0,H,2003
512,Bahia,Athletico-PR,0,2,A,2003
513,Sao Paulo,Vitoria,3,1,H,2003
514,Guarani,Corinthians,0,1,A,2003
515,Paysandu,Juventude,3,2,H,2003
516,Vasco,Figueirense,1,0,H,2003
517,Juventude,Atletico-MG,1,0,H,2003
518,Athletico-PR,Guarani,3,1,H,2003
519,Fluminense,Sao Caetano,2,1,H,2003
520,Internacional,Flamengo,3,1,H,2003
521,Goias,Santos,3,0,H,2003
522,Fortaleza,Parana,5,3,H,2003
523,Criciuma,Gremio,0,2,A,2003
524,Vitoria,Coritiba,1,0,H,2003
525,Ponte Preta,Sao Paulo,1,2,A,2003
526,Corinthians,Bahia,1,2,A,2003
527,Cruzeiro,Paysandu,2,1,H,2003
528,Vitoria,Atletico-MG,0,1,A,2003
529,Goias,Figueirense,0,3,A,2003
530,Athletico-PR,Vasco,2,2,D,2003
531,Corinthians,Parana,1,1,D,2003
532,Cruzeiro,Fluminense,5,2,H,2003
533,Guarani,Paysandu,2,1,H,2003
534,Santos,Gremio,2,2,D,2003
535,Flamengo,Ponte Preta,1,1,D,2003
536,Criciuma,Bahia,3,2,H,2003
537,Fortaleza,Coritiba,2,2,D,2003
538,Internacional,Sao Paulo,1,1,D,2003
539,Juventude,Sao Caetano,2,1,H,2003
540,Parana,Vitoria,2,0,H,2003
541,Coritiba,Criciuma,2,0,H,2003
542,Atletico-MG,Goias,3,2,H,2003
543,Figueirense,Guarani,2,0,H,2003
544,Sao Caetano,Internacional,5,0,H,2003
545,Gremio,Corinthians,3,0,H,2003
546,Ponte Preta,Fortaleza,2,0,H,2003
547,Bahia,Cruzeiro,0,7,A,2003
548,Fluminense,Juventude,1,0,H,2003
549,Paysandu,Athletico-PR,2,2,D,2003
550,Vasco,Santos,1,1,D,2003
551,Sao Paulo,Flamengo,1,3,A,2003
552,Botafogo-RJ,Goias,1,4,A,2004
553,Figueirense,Internacional,1,0,H,2004
554,Sao Caetano,Vitoria,1,0,H,2004
555,Cruzeiro,Juventude,2,1,H,2004
556,Palmeiras,Atletico-MG,0,0,D,2004
557,Gremio,Flamengo,0,0,D,2004
558,Ponte Preta,Corinthians,3,2,H,2004
559,Parana,Santos,3,2,H,2004
560,Coritiba,Guarani,1,0,H,2004
561,Vasco,Criciuma,0,1,A,2004
562,Paysandu,Fluminense,3,3,D,2004
563,Sao Paulo,Athletico-PR,1,0,H,2004
564,Flamengo,Ponte Preta,0,0,D,2004
565,Goias,Cruzeiro,2,2,D,2004
566,Juventude,Gremio,1,1,D,2004
567,Internacional,Palmeiras,1,0,H,2004
568,Atletico-MG,Vasco,1,1,D,2004
569,Fluminense,Coritiba,1,1,D,2004
570,Corinthians,Paysandu,2,1,H,2004
571,Guarani,Sao Caetano,1,1,D,2004
572,Athletico-PR,Figueirense,0,3,A,2004
573,Vitoria,Parana,6,1,H,2004
574,Criciuma,Sao Paulo,1,1,D,2004
575,Santos,Botafogo-RJ,2,0,H,2004
576,Botafogo-RJ,Atletico-MG,2,2,D,2004
577,Coritiba,Internacional,1,1,D,2004
578,Paysandu,Athletico-PR,0,3,A,2004
579,Cruzeiro,Criciuma,2,2,D,2004
580,Ponte Preta,Goias,2,0,H,2004
581,Gremio,Corinthians,4,0,H,2004
582,Figueirense,Santos,2,1,H,2004
583,Sao Paulo,Fluminense,1,0,H,2004
584,Parana,Flamengo,2,1,H,2004
585,Vasco,Guarani,0,1,A,2004
586,Palmeiras,Vitoria,2,2,D,2004
587,Internacional,Paysandu,1,0,H,2004
588,Criciuma,Botafogo-RJ,1,0,H,2004
589,Atletico-MG,Ponte Preta,1,2,A,2004
590,Goias,Gremio,4,0,H,2004
591,Flamengo,Sao Caetano,1,1,D,2004
592,Santos,Cruzeiro,1,3,A,2004
593,Fluminense,Vasco,1,0,H,2004
594,Corinthians,Palmeiras,0,4,A,2004
595,Juventude,Parana,4,0,H,2004
596,Vitoria,Figueirense,3,1,H,2004
597,Guarani,Sao Paulo,2,3,A,2004
598,Athletico-PR,Coritiba,1,1,D,2004
599,Santos,Juventude,2,1,H,2004
600,Parana,Cruzeiro,2,0,H,2004
601,Guarani,Athletico-PR,0,0,D,2004
602,Sao Caetano,Criciuma,5,0,H,2004
603,Vasco,Gremio,1,1,D,2004
